url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_T_TP_raw_abstractMapping,IJM_T_TP_abstractMapping,IJM_T_FP_abstractMapping,IJM_T_FN_abstractMapping,IJM_T_TP_raw_programElement,IJM_T_TP_programElement,IJM_T_FP_programElement,IJM_T_FN_programElement,MTD_T_TP_raw_abstractMapping,MTD_T_TP_abstractMapping,MTD_T_FP_abstractMapping,MTD_T_FN_abstractMapping,MTD_T_TP_raw_programElement,MTD_T_TP_programElement,MTD_T_FP_programElement,MTD_T_FN_programElement,GT2_T_TP_raw_abstractMapping,GT2_T_TP_abstractMapping,GT2_T_FP_abstractMapping,GT2_T_FN_abstractMapping,GT2_T_TP_raw_programElement,GT2_T_TP_programElement,GT2_T_FP_programElement,GT2_T_FN_programElement,IAM_T_TP_raw_abstractMapping,IAM_T_TP_abstractMapping,IAM_T_FP_abstractMapping,IAM_T_FN_abstractMapping,IAM_T_TP_raw_programElement,IAM_T_TP_programElement,IAM_T_FP_programElement,IAM_T_FN_programElement,SPN_T_TP_raw_abstractMapping,SPN_T_TP_abstractMapping,SPN_T_FP_abstractMapping,SPN_T_FN_abstractMapping,SPN_T_TP_raw_programElement,SPN_T_TP_programElement,SPN_T_FP_programElement,SPN_T_FN_programElement,SPN_G_T_TP_raw_abstractMapping,SPN_G_T_TP_abstractMapping,SPN_G_T_FP_abstractMapping,SPN_G_T_FN_abstractMapping,SPN_G_T_TP_raw_programElement,SPN_G_T_TP_programElement,SPN_G_T_FP_programElement,SPN_G_T_FN_programElement,SPN_S_T_TP_raw_abstractMapping,SPN_S_T_TP_abstractMapping,SPN_S_T_FP_abstractMapping,SPN_S_T_FN_abstractMapping,SPN_S_T_TP_raw_programElement,SPN_S_T_TP_programElement,SPN_S_T_FP_programElement,SPN_S_T_FN_programElement
https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,src.main.java.com.commafeed.backend.favicon.DefaultFaviconFetcher,62,3,98,36,1,2,5,2,0,0,92,30,8,8,4,1,1,1,91,29,6,9,4,1,1,1,95,33,0,5,5,2,0,0,95,33,9,5,4,1,1,1,88,26,5,12,4,1,1,1,95,33,2,5,5,2,0,0,92,30,6,8,4,1,1,1,92,30,5,8,4,1,1,1,91,29,4,9,4,1,1,1
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,modules.cpr.src.main.java.org.atmosphere.inject.InjectableObjectFactory,174,16,189,15,0,0,18,2,0,0,186,12,1,3,18,2,0,0,187,13,1,2,18,2,0,0,187,13,4,2,18,2,0,0,189,15,4,0,18,2,0,0,189,15,6,0,18,2,0,0,189,15,2,0,18,2,0,0,187,13,4,2,18,2,0,0,189,15,1,0,18,2,0,0,187,13,0,2,18,2,0,0
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,modules.cpr.src.main.java.org.atmosphere.util.Utils,245,18,249,4,0,0,19,1,0,0,245,0,0,4,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0,249,4,0,0,19,1,0,0
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.dto.BasicFieldMetadata,830,169,917,87,0,0,171,2,0,0,914,84,0,3,171,2,0,0,917,87,0,0,171,2,0,0,917,87,0,0,171,2,0,0,916,86,1,1,171,2,0,0,917,87,0,0,171,2,0,0,917,87,0,0,171,2,0,0,917,87,0,0,171,2,0,0,916,86,0,1,171,2,0,0,917,87,0,0,171,2,0,0
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.dto.FieldMetadata,268,56,299,31,0,0,58,2,0,0,295,27,0,4,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0,299,31,0,0,58,2,0,0
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.web.controller.AdminAbstractController,379,40,423,44,0,0,42,2,0,0,394,15,19,29,41,1,1,1,400,21,18,23,41,1,1,1,411,32,2,12,42,2,0,0,399,20,32,24,41,1,1,1,406,27,9,17,41,1,1,1,412,33,2,11,42,2,0,0,396,17,13,27,41,1,1,1,395,16,13,28,41,1,1,1,396,17,13,27,41,1,1,1
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86,app.src.main.java.com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter,653,59,686,33,0,0,62,3,0,0,681,28,1,5,61,2,0,1,681,28,5,5,61,2,1,1,686,33,0,0,62,3,0,0,684,31,4,2,61,2,1,1,685,32,1,1,62,3,0,0,686,33,0,0,62,3,0,0,682,29,10,4,61,2,1,1,683,30,8,3,61,2,0,1,681,28,10,5,61,2,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,packages.Keyguard.src.com.android.keyguard.KeyguardAbsKeyInputView,188,35,206,18,0,0,37,2,0,0,200,12,6,6,36,1,1,1,200,12,6,6,36,1,1,1,204,16,2,2,37,2,0,0,204,16,3,2,36,1,1,1,201,13,4,5,36,1,1,1,204,16,2,2,37,2,0,0,201,13,5,5,36,1,1,1,202,14,4,4,36,1,1,1,202,14,3,4,36,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,packages.Keyguard.src.com.android.keyguard.KeyguardSimPinView,318,44,333,15,0,0,46,2,0,0,330,12,0,3,46,2,0,0,332,14,0,1,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0,333,15,0,0,46,2,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,packages.SystemUI.src.com.android.systemui.usb.StorageNotification,256,19,275,19,0,0,21,2,0,0,268,12,4,7,20,1,1,1,271,15,4,4,20,1,1,1,275,19,1,0,21,2,0,0,274,18,1,1,20,1,1,1,270,14,4,5,20,1,1,1,275,19,0,0,21,2,0,0,272,16,3,3,20,1,1,1,270,14,3,5,20,1,1,1,271,15,3,4,20,1,1,1
