url,RMD,GTG,GTS,IJM,MTD,GT2
Closure/commit/126,11.00,1219.00,6.00,8.00,18.00,6.00
Closure/commit/127,11.00,791.00,3.00,7.00,14.00,13.00
Closure/commit/128,143.00,17.00,14.00,26.00,269.00,30.00
Closure/commit/129,7.00,690.00,8.00,8.00,25.00,6.00
Closure/commit/13,8.00,506.00,19.00,43.00,9.00,10.00
Closure/commit/130,40.00,68.00,25.00,24.00,217.00,40.00
Closure/commit/131,51.00,23.00,8.00,11.00,42.00,11.00
Closure/commit/132,147.00,244.00,25.00,89.00,585.00,46.00
Closure/commit/133,180.00,26.00,27.00,96.00,699.00,51.00
Closure/commit/134,127.00,185.00,23.00,49.00,505.00,146.00
Closure/commit/135,53.00,33.00,22.00,27.00,165.00,43.00
Closure/commit/136,26.00,1088.00,15.00,21.00,65.00,23.00
Closure/commit/137,219.00,101.00,33.00,76.00,546.00,137.00
Closure/commit/138,126.00,1145.00,16.00,28.00,262.00,58.00
Closure/commit/139,29.00,467.00,11.00,16.00,83.00,17.00
Closure/commit/14,46.00,140.00,18.00,29.00,186.00,31.00
Closure/commit/140,87.00,30.00,19.00,35.00,384.00,40.00
Closure/commit/141,102.00,46.00,26.00,42.00,482.00,54.00
Closure/commit/142,141.00,154.00,24.00,41.00,481.00,57.00
Closure/commit/143,67.00,380.00,13.00,33.00,239.00,42.00
Closure/commit/144,122.00,604.00,43.00,64.00,658.00,137.00
Closure/commit/145,74.00,11.00,12.00,20.00,163.00,22.00
Closure/commit/146,21.00,16.00,7.00,11.00,90.00,15.00
Closure/commit/147,17.00,540.00,7.00,13.00,42.00,17.00
Closure/commit/148,276.00,223.00,20.00,35.00,257.00,41.00
Closure/commit/149,218.00,136.00,74.00,96.00,968.00,141.00
Closure/commit/15,24.00,26.00,5.00,8.00,36.00,17.00
Closure/commit/150,67.00,76.00,18.00,27.00,431.00,111.00
Closure/commit/151,14.00,748.00,7.00,15.00,60.00,18.00
Closure/commit/152,31.00,39.00,9.00,15.00,116.00,19.00
Closure/commit/154,173.00,293.00,32.00,62.00,635.00,107.00
Closure/commit/155,135.00,231.00,22.00,41.00,203.00,49.00
Closure/commit/156,101.00,136.00,11.00,20.00,124.00,25.00
Closure/commit/157,267.00,208.00,46.00,87.00,782.00,151.00
Closure/commit/158,395.00,748.00,48.00,86.00,882.00,77.00
Closure/commit/159,45.00,15.00,10.00,16.00,157.00,24.00
Closure/commit/16,19.00,31.00,6.00,13.00,61.00,16.00
Closure/commit/160,104.00,51.00,20.00,34.00,553.00,55.00
Closure/commit/161,61.00,32.00,13.00,27.00,258.00,25.00
Closure/commit/164,8.00,686.00,4.00,6.00,13.00,5.00
Closure/commit/165,96.00,1104.00,43.00,51.00,512.00,70.00
Closure/commit/166,16.00,6.00,5.00,9.00,43.00,12.00
Closure/commit/167,60.00,101.00,18.00,26.00,204.00,39.00
Closure/commit/168,107.00,181.00,24.00,31.00,702.00,127.00
Closure/commit/169,172.00,2135.00,39.00,62.00,473.00,88.00
Closure/commit/17,107.00,403.00,25.00,50.00,932.00,126.00
Closure/commit/170,31.00,368.00,8.00,12.00,55.00,20.00
Closure/commit/171,196.00,211.00,72.00,95.00,1556.00,202.00
Closure/commit/172,150.00,82.00,27.00,57.00,1059.00,169.00
Closure/commit/173,141.00,65.00,38.00,59.00,412.00,48.00
Closure/commit/175,48.00,56.00,10.00,17.00,106.00,24.00
Closure/commit/18,140.00,227.00,28.00,51.00,801.00,76.00
Closure/commit/19,20.00,17.00,6.00,10.00,61.00,27.00
