url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/rstudio/rstudio/commit/cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe,src.gwt.src.org.rstudio.core.client.widget.ScrollableToolbarPopupMenu.json,58,11,73,15,0,0,13,2,0,0,73,15,3,0,13,2,0,0,73,15,1,0,13,2,0,0
https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877,python.educational.src.com.jetbrains.edu.stepic.EduStepicConnector.json,341,68,371,30,0,0,71,3,0,0,361,20,8,10,70,2,1,1,365,24,7,6,70,2,1,1
https://github.com/orientechnologies/orientdb/commit/1089957b645bde069d3864563bbf1f7c7da8045c,core.src.main.json.com.orientechnologies.orient.core.db.tool.ODatabaseImport.json,1205,91,1218,13,0,0,93,2,0,0,1210,5,6,8,92,1,1,1,1212,7,6,6,92,1,1,1
https://github.com/Netflix/eureka/commit/f6212a7e474f812f31ddbce6d4f7a7a0d498b751,eureka-client.src.main.json.com.netflix.discovery.DiscoveryClient.json,1296,118,1360,64,0,0,121,3,0,0,1355,59,4,5,121,3,0,0,1357,61,4,3,121,3,0,0
https://github.com/wordpress-mobile/WordPress-Android/commit/f8d5cf01f123a1d0a65857aa2db0571fe9cd1911,WordPress.src.main.json.org.wordpress.android.models.Blog.json,546,99,582,36,0,0,103,4,0,0,567,21,16,15,102,3,1,1,571,25,13,11,102,3,1,1
https://github.com/apache/pig/commit/7a1659c12d76b510809dea1dea1f5100bcf4cd60,src.org.apache.pig.backend.hadoop.executionengine.spark.SparkLauncher.json,392,25,469,77,0,0,29,4,0,0,465,73,3,4,29,4,0,0,467,75,3,2,29,4,0,0
https://github.com/mongodb/mongo-java-driver/commit/8c5a20d786e66ee4c4b0d743f0f80bf681c419be,driver-core.src.test.unit.com.mongodb.JsonPoweredTestHelper.json,63,6,63,0,0,0,6,0,0,0,63,0,0,0,6,0,0,0,63,0,0,0,6,0,0,0
https://github.com/ratpack/ratpack/commit/2581441eda268c45306423dd4c515514d98a14a0,ratpack-jackson.src.main.json.ratpack.jackson.JacksonModule.json,98,17,102,4,0,0,18,1,0,0,102,4,0,0,18,1,0,0,102,4,0,0,18,1,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,packages.SystemUI.src.com.android.systemui.usb.StorageNotification.json,254,19,271,17,0,0,21,2,0,0,265,11,4,6,20,1,1,1,267,13,4,4,20,1,1,1
https://github.com/deeplearning4j/deeplearning4j/commit/3325f5ccd23f8016fa28a24f878b54f1918546ed,deeplearning4j-scaleout.deeplearning4j-nlp.src.main.json.org.deeplearning4j.models.embeddings.loader.WordVectorSerializer.json,229,12,326,97,0,0,17,5,0,0,323,94,2,3,17,5,0,0,325,96,3,1,17,5,0,0
