url,RMD,GTG,GTS,IJM,MTD,GT2
Closure/commit/127,6.75,831.25,3.00,6.25,10.50,7.50
Closure/commit/128,95.25,19.50,17.75,30.25,227.25,32.50
Closure/commit/129,4.50,494.25,2.75,4.25,7.75,4.00
Closure/commit/13,5.00,329.00,2.50,4.25,6.50,4.25
Closure/commit/130,29.25,43.50,10.25,15.75,113.50,25.25
Closure/commit/131,29.75,8.00,3.75,7.25,18.25,6.50
Closure/commit/132,89.50,159.75,24.50,33.50,363.50,36.50
Closure/commit/133,160.00,26.25,27.75,41.75,512.25,47.50
Closure/commit/134,72.75,189.00,27.25,42.50,381.75,122.00
Closure/commit/135,31.00,22.75,12.50,19.50,100.00,27.25
Closure/commit/136,19.50,887.00,8.75,13.25,44.25,16.50
Closure/commit/137,147.25,98.50,37.00,66.25,433.75,127.50
Closure/commit/138,65.00,1247.75,19.25,29.25,224.50,58.75
Closure/commit/139,18.50,459.25,8.00,13.50,57.00,15.75
Closure/commit/14,35.75,129.00,11.50,17.00,126.25,23.25
Closure/commit/140,71.50,32.25,21.00,31.75,323.50,42.50
Closure/commit/141,99.75,51.00,30.25,41.25,393.00,60.00
Closure/commit/142,123.75,156.75,27.75,42.00,402.25,60.00
Closure/commit/143,47.25,397.00,16.50,23.25,169.25,33.00
Closure/commit/144,117.75,597.75,39.25,61.25,517.50,133.50
Closure/commit/145,62.25,11.75,11.75,20.25,133.25,22.00
Closure/commit/146,26.00,20.00,11.50,11.75,82.50,20.00
Closure/commit/147,16.50,581.50,7.50,12.75,35.25,17.00
Closure/commit/148,222.25,236.25,20.75,32.00,205.00,43.25
Closure/commit/149,199.75,145.25,57.00,84.50,748.00,119.75
Closure/commit/15,19.75,25.75,4.50,7.50,28.50,15.00
Closure/commit/150,62.50,94.75,21.25,25.75,357.50,102.00
Closure/commit/151,14.25,753.00,6.75,14.75,47.00,18.50
Closure/commit/152,26.75,40.75,9.50,15.75,96.50,19.25
Closure/commit/154,128.00,308.75,37.25,65.25,516.25,85.25
Closure/commit/155,110.50,235.25,22.25,36.00,154.00,49.25
Closure/commit/156,91.25,127.75,10.00,17.25,98.00,25.75
Closure/commit/157,200.75,223.25,50.00,93.00,631.50,163.00
Closure/commit/158,350.50,729.75,29.00,73.00,675.75,74.00
Closure/commit/159,70.75,26.75,18.75,23.25,274.25,39.25
Closure/commit/16,29.25,66.00,9.50,26.25,65.00,23.50
Closure/commit/160,120.75,68.00,30.50,52.50,574.50,76.25
Closure/commit/161,59.00,33.00,14.00,26.25,215.00,26.00
Closure/commit/164,6.75,791.00,3.00,7.25,10.25,5.25
Closure/commit/165,95.25,1258.75,30.00,51.50,407.50,67.50
Closure/commit/166,17.00,7.50,6.50,11.75,44.50,15.00
Closure/commit/167,56.75,106.50,19.75,29.00,173.25,42.25
Closure/commit/168,126.00,230.25,38.75,56.25,695.50,155.75
Closure/commit/169,184.25,2367.75,45.75,71.75,416.00,89.00
Closure/commit/17,113.50,433.50,27.75,55.50,785.25,159.25
Closure/commit/170,24.75,381.25,6.75,12.00,43.25,18.50
Closure/commit/171,191.75,201.00,49.25,90.25,1273.25,219.75
Closure/commit/172,101.75,85.75,26.50,62.25,852.50,148.00
Closure/commit/173,131.50,54.50,28.00,54.00,304.00,48.00
Closure/commit/175,37.00,51.50,8.50,15.50,82.25,20.75
Closure/commit/18,138.50,249.00,32.50,51.25,721.25,92.50
Closure/commit/19,22.00,19.25,7.00,10.50,55.75,31.00
Closure/commit/2,125.25,67.50,31.50,42.00,498.25,75.75
Closure/commit/20,86.75,36.75,19.50,30.75,353.75,33.75
Closure/commit/21,16.50,623.75,3.25,5.00,9.75,5.75
Closure/commit/22,12.00,675.75,2.75,5.50,10.25,6.25
Closure/commit/23,64.25,40.00,15.50,29.00,250.00,28.25
Closure/commit/24,19.75,52.25,7.00,13.75,51.25,15.00
Closure/commit/25,66.50,49.50,15.50,30.25,281.75,50.75
Closure/commit/26,8.00,220.00,3.50,7.25,18.25,8.50
Closure/commit/27,28.75,13.50,8.75,13.25,73.00,16.50
Closure/commit/28,3.25,72.00,2.25,3.00,2.75,2.25
Closure/commit/29,17.50,131.25,6.75,15.00,46.75,15.75
Closure/commit/3,21.50,424.00,6.25,12.00,39.50,19.50
Closure/commit/30,30.00,35.00,10.00,15.25,61.25,28.25
Closure/commit/31,129.75,430.75,27.50,50.25,678.00,91.50
Closure/commit/32,200.25,197.25,27.00,46.00,544.25,63.00
Closure/commit/33,21.50,17.25,11.25,18.00,53.00,18.00
Closure/commit/34,110.25,140.00,25.75,48.50,273.50,47.00
Closure/commit/35,74.75,23.25,17.25,31.00,309.00,51.75
Closure/commit/36,23.00,50.00,8.50,19.00,85.25,19.00
Closure/commit/37,80.00,119.50,29.00,54.25,391.75,107.25
Closure/commit/38,5.75,446.00,3.00,4.75,8.75,5.25
Closure/commit/39,19.00,86.50,8.75,12.75,43.25,15.50
Closure/commit/4,11.50,18.00,5.50,8.75,24.25,12.50
Closure/commit/40,86.00,237.75,23.75,33.25,405.50,57.25
Closure/commit/41,26.50,272.00,9.75,16.25,89.25,27.50
Closure/commit/42,53.50,20.75,20.25,39.00,307.75,90.25
Closure/commit/43,89.00,80.25,30.25,54.50,721.25,133.75
Closure/commit/44,5.50,430.75,3.25,4.50,9.50,4.75
Closure/commit/45,34.00,249.25,10.75,16.00,119.75,22.00
Closure/commit/46,8.00,936.00,3.00,5.00,11.25,6.00
Closure/commit/47,33.00,389.00,10.25,16.75,79.00,24.50
Closure/commit/48,91.00,338.75,29.50,54.00,660.25,127.00
Closure/commit/49,17.75,59.75,7.00,9.75,42.50,16.00
Closure/commit/5,17.50,155.50,7.00,13.50,47.50,15.50
Closure/commit/50,24.25,279.25,7.75,13.25,64.25,13.50
Closure/commit/51,5.25,406.50,3.00,4.25,8.50,5.00
Closure/commit/52,83.00,17.75,16.75,26.50,192.25,26.50
Closure/commit/53,13.50,100.75,6.00,12.00,40.00,13.25
Closure/commit/54,123.50,346.50,42.25,67.75,807.50,149.25
Closure/commit/55,14.75,5.00,4.50,7.00,32.00,11.50
Closure/commit/56,11.00,16.75,4.75,7.75,26.50,10.75
Closure/commit/57,10.75,20.75,4.25,7.50,22.00,9.75
Closure/commit/58,12.00,188.75,5.00,7.75,21.00,10.25
Closure/commit/59,96.50,61.25,21.50,36.00,414.00,57.25
Closure/commit/6,29.00,38.25,12.50,17.50,116.50,34.00
